test,level,run,segment,marker,mode,comparison_role,geometry,n_samples,vt_rmse_3d_cm,visual_dispersion_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg,vk_rmse_3d_cm
QR_motioncap_brushless_Light_bot_NoWind_test5,bot,5,4,13,attitude_run_centered,compared,Upper and lower boundaries,163,4.1919978323107,3.20043874682017,3.17945550707417,3.02389598032813,4.08031414944753,3.65879799816501
QR_motioncap_brushless_Light_bot_NoWind_test5,bot,5,5,14,original_static,reference,Open-side locations,177,3.51940325241028,2.63683815714543,1.9976812482628,1.77360782767152,3.8131122744933,2.89694694143069
QR_motioncap_brushless_Light_bot_NoWind_test5,bot,5,5,14,attitude_absolute,reference,Open-side locations,177,3.39790671132813,1.96538887494938,1.9976812482628,1.77360782767152,3.8131122744933,2.97843957450044
QR_motioncap_brushless_Light_bot_NoWind_test5,bot,5,5,14,attitude_run_centered,reference,Open-side locations,177,3.38192146508047,1.96544906094792,1.9976812482628,1.77360782767152,3.8131122744933,2.95403830367878
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,1,6,original_static,compared,Opposing vertical surfaces,183,4.6601655872947,4.24554077854939,2.9990649067771,2.819294124036,4.74003248780206,3.61861977677034
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,1,6,attitude_absolute,compared,Opposing vertical surfaces,183,3.98860502402588,3.49512279826018,2.9990649067771,2.819294124036,4.74003248780206,3.18891920385243
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,1,6,attitude_run_centered,compared,Opposing vertical surfaces,183,3.95698566738072,3.49526881255037,2.9990649067771,2.819294124036,4.74003248780206,3.19241023811097
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,2,7,original_static,compared,Opposing vertical surfaces,156,3.56052250556976,2.98871076331925,1.85891262428244,1.82164235455151,3.34345314186203,3.41402312782009
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,2,7,attitude_absolute,compared,Opposing vertical surfaces,156,3.21840957714821,2.53733018145799,1.85891262428244,1.82164235455151,3.34345314186203,3.19386277461339
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,2,7,attitude_run_centered,compared,Opposing vertical surfaces,156,3.18255214484745,2.53753411298581,1.85891262428244,1.82164235455151,3.34345314186203,3.17698402027707
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,3,8,original_static,reference,Opening toward M9,175,4.41546610141815,4.34889959962887,3.23541623373795,3.18481600262343,7.21923234231924,4.04165104179062
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,3,8,attitude_absolute,reference,Opening toward M9,175,3.63733014024243,3.50027984666165,3.23541623373795,3.18481600262343,7.21923234231924,2.52169641434866
QR_motioncap_brushless_Light_mid_NoWind_test1,mid,1,3,8,attitude_run_centered,reference,Opening toward M9,175,3.5999909890744,3.50050047936524,3.23541623373795,3.18481600262343,7.21923234231924,2.46874541710396
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,1,6,original_static,compared,Opposing vertical surfaces,179,4.96003080798722,4.77468111669733,3.04091717617015,3.00293429186712,6.92131464340836,4.45657141333475
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,1,6,attitude_absolute,compared,Opposing vertical surfaces,179,3.92069626689565,3.67016393101751,3.04091717617015,3.00293429186712,6.92131464340836,3.18741059153431
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,1,6,attitude_run_centered,compared,Opposing vertical surfaces,179,3.92585106044979,3.67014343048421,3.04091717617015,3.00293429186712,6.92131464340836,3.18585981099625
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,2,7,original_static,compared,Opposing vertical surfaces,161,3.69176333393116,3.24442937930386,2.01950346407638,1.9307122528953,3.8774659635319,3.28773467042836
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,2,7,attitude_absolute,compared,Opposing vertical surfaces,161,3.01619580385,2.45795940473608,2.01950346407638,1.9307122528953,3.8774659635319,2.89345252493205
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,2,7,attitude_run_centered,compared,Opposing vertical surfaces,161,3.00360600733863,2.45761691289504,2.01950346407638,1.9307122528953,3.8774659635319,2.86541029528294
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,3,8,original_static,reference,Opening toward M9,172,4.07567534131615,4.02937311965901,3.17305250860465,3.14086398829626,6.29137989693043,3.55826768840174
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,3,8,attitude_absolute,reference,Opening toward M9,172,3.61816815207231,3.4958812342475,3.17305250860465,3.14086398829626,6.29137989693043,2.1910103014576
QR_motioncap_brushless_Light_mid_NoWind_test2,mid,2,3,8,attitude_run_centered,reference,Opening toward M9,172,3.60271916651789,3.49684652105628,3.17305250860465,3.14086398829626,6.29137989693043,2.14839695763053
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,1,6,original_static,compared,Opposing vertical surfaces,176,4.46025968181688,4.22232834392154,2.74317842862322,2.71395126066476,6.31902666431833,4.04198964718167
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,1,6,attitude_absolute,compared,Opposing vertical surfaces,176,3.68823873361228,3.40572260147569,2.74317842862322,2.71395126066476,6.31902666431833,3.07966864867713
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,1,6,attitude_run_centered,compared,Opposing vertical surfaces,176,3.69235457639371,3.40515835016506,2.74317842862322,2.71395126066476,6.31902666431833,3.07766653680366
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,2,7,original_static,compared,Opposing vertical surfaces,164,4.0403809950379,3.2885295738792,1.92186032309724,1.86169852411174,3.27185427978836,3.96894855146837
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,2,7,attitude_absolute,compared,Opposing vertical surfaces,164,3.77247648357756,3.04531142244109,1.92186032309724,1.86169852411174,3.27185427978836,3.74706400859289
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,2,7,attitude_run_centered,compared,Opposing vertical surfaces,164,3.7844813942442,3.04535638320059,1.92186032309724,1.86169852411174,3.27185427978836,3.73954455848443
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,3,8,original_static,reference,Opening toward M9,177,3.97044575675974,3.92477237451988,2.33320688555703,2.28491961844586,6.70403708117703,3.63990613523585
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,3,8,attitude_absolute,reference,Opening toward M9,177,3.09138098112606,2.94265860305614,2.33320688555703,2.28491961844586,6.70403708117703,2.06308679980876
QR_motioncap_brushless_Light_mid_NoWind_test3,mid,3,3,8,attitude_run_centered,reference,Opening toward M9,177,3.04300799143741,2.94327809187648,2.33320688555703,2.28491961844586,6.70403708117703,1.98852379166582
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,1,6,original_static,compared,Opposing vertical surfaces,162,4.73224141517713,4.31599685192364,2.70393618435318,2.66334613819488,5.28085309125078,4.03064278106058
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,1,6,attitude_absolute,compared,Opposing vertical surfaces,162,3.70412146336011,3.15899917258117,2.70393618435318,2.66334613819488,5.28085309125078,3.37521507686287
