test,route,run,marker,gap_id,first_unboxed_frame_0,last_unboxed_frame_0,unboxed_frames,preceding_detection_time,following_detection_time
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,11,305,305,1,1766441969.82,1766441970.1
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,12,322,322,1,1766441972.25,1766441972.55
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M6,13,326,327,2,1766441972.83,1766441973.26
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,1,498,499,2,1766441997.75,1766441998.18
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,2,506,513,8,1766441998.9,1766442000.2
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,3,515,518,4,1766442000.2,1766442000.94
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,4,524,524,1,1766442001.51,1766442001.8
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,5,527,527,1,1766442001.93,1766442002.22
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,6,534,535,2,1766442002.94,1766442003.52
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,7,537,537,1,1766442003.52,1766442003.8
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,8,547,547,1,1766442004.96,1766442005.25
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,9,549,549,1,1766442005.25,1766442005.54
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,10,553,554,2,1766442005.82,1766442006.4
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,11,559,566,8,1766442006.84,1766442008.13
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,12,568,568,1,1766442008.13,1766442008.42
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,13,583,590,8,1766442010.29,1766442011.6
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,14,592,594,3,1766442011.6,1766442012.16
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,15,596,596,1,1766442012.16,1766442012.45
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,16,598,598,1,1766442012.45,1766442012.75
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,17,613,616,4,1766442014.61,1766442015.36
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,18,623,623,1,1766442016.06,1766442016.49
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,19,640,640,1,1766442018.66,1766442018.95
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,20,657,658,2,1766442021.25,1766442021.67
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M7,21,660,662,3,1766442021.67,1766442022.25
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M8,1,815,815,1,1766442044.61,1766442044.9
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M8,2,826,826,1,1766442046.22,1766442046.49
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M8,3,828,828,1,1766442046.49,1766442046.78
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M8,4,861,861,1,1766442051.25,1766442051.53
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M8,5,885,885,1,1766442054.72,1766442055.01
QR_motioncap_brushless_Light_mid_NoWind_test4,MID,4,M8,6,945,945,1,1766442063.53,1766442063.82
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,1,214,217,4,1766442346.93,1766442347.64
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,2,219,219,1,1766442347.64,1766442347.93
