stage,flight_id,unit_id,timestamp,original_x,original_y,original_z,reference_x,reference_y,reference_z,marker_x,marker_y,marker_z,target_x,target_y,target_z,nominal_heading_deg,roll_deg,pitch_deg,yaw_deg,absolute_x,absolute_y,absolute_z,centered_x,centered_y,centered_z,run_reference_roll_deg,run_reference_pitch_deg,run_reference_yaw_deg
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767653.14,1.0025150239526497,0.0088725234457513,1.2038260223947486,1.0093885660171509,0.0204064380377531,1.1995989084243774,1.25,0.0,1.2,1.0,0.0,1.2,0.0,1.3479055166244511,0.6198877096176147,-0.9540759921073914,1.0027536475055967,0.012898754707369784,1.2067109458372471,1.0028211313438857,0.014255304221687718,1.2064472226771426,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767653.23,1.0015168691458791,0.0132033788936273,1.2018844481105726,1.0079312324523926,0.0210611391812562,1.200337290763855,1.25,0.0,1.2,1.0,0.0,1.2,0.0,1.0946755409240727,0.6461617946624756,-0.8329529762268066,1.0017743991116965,0.0167752604072782,1.2049384592602335,1.0018642946130956,0.0181310727378155,1.2046564569659464,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767653.41,0.9977666830325892,0.0149050303525916,1.2018463348640072,1.002729058265686,0.0218449644744396,1.2020119428634644,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.8923511505126953,-0.0988107770681381,-0.5007040500640869,0.9979030908536899,0.017078150550506037,1.2016432416971812,0.9979983009155824,0.01845367457487061,1.2013493049601518,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767653.5,0.9947484422150952,0.0144472935998691,1.1996015484131843,1.0002217292785645,0.0198606625199317,1.20203697681427,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.8790408968925476,-0.5257513523101807,-0.1747494488954544,0.9948060743692537,0.015230105358290525,1.197481067767283,0.9948957065954263,0.01661681469776391,1.1971854372450021,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767653.66,0.997593586298306,0.012031011412912,1.199358349248604,0.9961456656455994,0.0106091806665062,1.1992896795272827,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.2723214328289032,-0.2995170652866363,-0.11807443201541902,0.9976254256831727,0.01255404189919317,1.198096083129808,0.9976996253292588,0.013921616879106565,1.197794517392931,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767653.8,0.996243565601171,0.0082223479934032,1.2016051167419195,0.9907435178756714,0.0078514255583286,1.2064177989959717,1.25,0.0,1.2,1.0,0.0,1.2,0.0,-0.8147267699241638,0.068374402821064,0.0474273636937141,0.9962387846239127,0.008034288651448316,1.2017908606319951,0.9962839891910723,0.009409240035851876,1.2014708726113466,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767653.94,0.9884278514071508,0.0045197532626346,1.2048646658250046,0.9907872080802916,0.0058942693285644,1.2082765102386477,1.25,0.0,1.2,1.0,0.0,1.2,0.0,-0.5128305554389954,-0.3688896000385284,0.4554531574249267,0.9883742068187091,0.002483509039556683,1.203139838807083,0.9883880890277073,0.003910894791131055,1.202827543453507,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p5,E1_fixed_1p5|QR_hover_Light_1p5_0p15_NoWind_test1,E1_fixed_1p5|QR_hover_Light_1p5_0p15_NoWind_test1,1731933248.0,0.0302932057593325,0.0119033284291815,1.5006165316233957,0.0188560262322425,0.0032507583964616,1.5175368785858154,0.25,0.0,1.5,0.0,0.0,1.5,0.0,0.2240159213542938,0.2264805734157562,0.7120278477668762,0.030166617448323163,0.009169685228053021,1.5015315231480868,0.03022699737125606,0.010505377202415364,1.501615283203554,0.02235830738446217,-0.021916008750486732,0.3481745645403862
E1_fixed_1p5,E1_fixed_1p5|QR_hover_Light_1p5_0p15_NoWind_test1,E1_fixed_1p5|QR_hover_Light_1p5_0p15_NoWind_test1,1731933248.125,0.0276289061662912,0.0113248341673588,1.5143681391894297,0.0180532513186335,0.0030804314883425,1.534868597984314,0.25,0.0,1.5,0.0,0.0,1.5,0.0,0.4128580540418625,0.025262925773859003,0.7438959181308746,0.027508357394866623,0.008333086242065506,1.5145474159230097,0.02756922008744339,0.009690103159087547,1.5146372372305419,0.02235830738446217,-0.021916008750486732,0.3481745645403862
E1_fixed_1p5,E1_fixed_1p5|QR_hover_Light_1p5_0p15_NoWind_test1,E1_fixed_1p5|QR_hover_Light_1p5_0p15_NoWind_test1,1731933248.25,0.0272569084963361,0.0120892449403644,1.5244994477731546,0.0156631655991077,0.0040802233852446,1.546286702156067,0.25,0.0,1.5,0.0,0.0,1.5,0.0,0.50517338514328,0.12052481621503831,1.069740653038025,0.027126314313226346,0.00771319140491458,1.5250735817898362,0.027188024984204667,0.009076748074053459,1.5251653339136997,0.02235830738446217,-0.021916008750486732,0.3481745645403862
