shift_s,mode,route,metric,compared_mean,reference_mean,mean_difference,sd_difference,positive_flights,min_difference
-0.15,attitude_run_centered,top,visual_dispersion_3d_cm,3.65504243923782,2.11919356235232,1.5358488768855,0.337957321691847,5,1.12697241784228
-0.15,attitude_run_centered,top,vk_rmse_3d_cm,3.89624251905551,3.03261370908791,0.863628809967601,0.151183937025856,5,0.709826074317503
-0.15,attitude_run_centered,top,kt_rmse_3d_cm,3.23204460762671,2.37936438975758,0.852680217869133,0.29903603415281,5,0.560242660965417
-0.15,attitude_run_centered,top,kalman_pos_std_3d_cm,3.21633910701166,2.05976562049688,1.15657348651477,0.333874498604754,5,0.814922144147693
-0.15,attitude_run_centered,top,rpy_std_deg,8.97637582130311,4.87678360685166,4.09959221445144,0.983888150508571,5,2.62403159682886
-0.15,original_static,bot,vt_rmse_3d_cm,4.65830620240105,4.00677154556714,0.651534656833915,0.400559030945538,5,0.395924085449236
-0.15,original_static,bot,visual_dispersion_3d_cm,3.57098482850612,2.99382206687262,0.577162761633503,0.164545297904483,5,0.314801654244595
-0.15,original_static,bot,vk_rmse_3d_cm,3.95823563391581,3.46245527927725,0.495780354638562,0.453418960831262,5,0.0875411310316951
-0.15,original_static,bot,kt_rmse_3d_cm,2.95962268805736,2.51802219708998,0.44160049096738,0.371649967270687,5,0.0148328763240295
-0.15,original_static,bot,kalman_pos_std_3d_cm,2.75482118641853,2.33284003542052,0.421981150998015,0.411410745750232,4,-0.060776476679504
-0.15,original_static,bot,rpy_std_deg,4.7332287660868,4.06812525154341,0.665103514543395,0.293845513118322,5,0.253794677290718
-0.15,original_static,mid,vt_rmse_3d_cm,4.31423644230236,4.29020549928891,0.0240309430134496,0.246911525775647,3,-0.305122054985915
-0.15,original_static,mid,visual_dispersion_3d_cm,3.86712386209602,4.18963823569565,-0.322514373599631,0.284674435072831,0,-0.731773828694545
-0.15,original_static,mid,vk_rmse_3d_cm,3.77779226637145,3.57761706326947,0.20017520310198,0.279227686787735,4,-0.277819045734082
-0.15,original_static,mid,kt_rmse_3d_cm,2.57293931667179,2.96092629133901,-0.38798697466722,0.385329889259593,1,-0.775985104614968
-0.15,original_static,mid,kalman_pos_std_3d_cm,2.51417829282844,2.92076082633924,-0.406582533510804,0.401444628246773,1,-0.835936641006782
-0.15,original_static,mid,rpy_std_deg,4.7102092202691,6.45297457894188,-1.74276535867278,0.893429400272184,0,-3.16158313721557
-0.15,original_static,top,vt_rmse_3d_cm,6.16678067485527,4.38410390814847,1.78267676670681,0.528884461169153,5,0.878274031907142
-0.15,original_static,top,visual_dispersion_3d_cm,5.4507944036629,3.40414047451781,2.04665392914509,0.461349648227481,5,1.40550763974135
-0.15,original_static,top,vk_rmse_3d_cm,5.45190287776619,3.64690324133232,1.80499963643387,0.722287299354769,5,0.63241685115137
-0.15,original_static,top,kt_rmse_3d_cm,3.23204460762671,2.37936438975758,0.852680217869133,0.29903603415281,5,0.560242660965417
-0.15,original_static,top,kalman_pos_std_3d_cm,3.21633910701166,2.05976562049688,1.15657348651477,0.333874498604754,5,0.814922144147693
-0.15,original_static,top,rpy_std_deg,8.97637582130311,4.87678360685166,4.09959221445144,0.983888150508571,5,2.62403159682886
-0.1,attitude_absolute,bot,vt_rmse_3d_cm,4.22089413745073,3.70014721338553,0.520746924065196,0.252738460232827,5,0.235267544797122
-0.1,attitude_absolute,bot,visual_dispersion_3d_cm,3.02825390528851,2.57093542087378,0.457318484414732,0.295637122017801,5,0.146051820260404
-0.1,attitude_absolute,bot,vk_rmse_3d_cm,3.44906755313891,3.06825835038816,0.380809202750752,0.349628263266956,5,0.0361003796401755
-0.1,attitude_absolute,bot,kt_rmse_3d_cm,2.95702624665746,2.5197611782793,0.437265068378155,0.377547324051867,4,-0.00167561628803714
-0.1,attitude_absolute,bot,kalman_pos_std_3d_cm,2.75293285175137,2.33508849172856,0.417844360022814,0.418452566600671,4,-0.0797257637748103
