shift_s,mode,route,test,metric,difference
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,kalman_pos_std_3d_cm,0.988769473868682
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,rpy_std_deg,0.605084070229589
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,rpy_std_deg,0.253058052822577
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,rpy_std_deg,1.05866658569274
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,rpy_std_deg,0.628511081870762
-0.2,attitude_run_centered,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,rpy_std_deg,0.770779653441815
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,vt_rmse_3d_cm,-0.409786119487842
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,vt_rmse_3d_cm,-0.147857562505696
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,vt_rmse_3d_cm,0.716529379359815
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,vt_rmse_3d_cm,0.0309626730118575
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,vt_rmse_3d_cm,0.2298707209264
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,visual_dispersion_3d_cm,-0.874280303582496
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,visual_dispersion_3d_cm,-0.448664605206815
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,visual_dispersion_3d_cm,0.293520763541879
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,visual_dispersion_3d_cm,-0.284259146425339
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,visual_dispersion_3d_cm,-0.254399550415286
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,vk_rmse_3d_cm,0.598677519245503
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,vk_rmse_3d_cm,0.702065287980549
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,vk_rmse_3d_cm,1.54310843936304
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,vk_rmse_3d_cm,0.644066871780444
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,vk_rmse_3d_cm,0.67966159332973
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,kt_rmse_3d_cm,-0.766855980207416
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,kt_rmse_3d_cm,-0.647037843056766
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,kt_rmse_3d_cm,0.0948624320603928
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,kt_rmse_3d_cm,-0.576995412755796
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,kt_rmse_3d_cm,0.0387612239576232
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,kalman_pos_std_3d_cm,-0.8274538737889
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,kalman_pos_std_3d_cm,-0.675949843935751
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,kalman_pos_std_3d_cm,0.101339040229559
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,kalman_pos_std_3d_cm,-0.565755306610773
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,kalman_pos_std_3d_cm,0.0208857584508912
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,rpy_std_deg,-3.15849853036599
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,rpy_std_deg,-0.840231865320225
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,rpy_std_deg,-1.92016957373662
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,rpy_std_deg,-1.16463394264028
-0.2,attitude_run_centered,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,rpy_std_deg,-1.667890231632
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test1,vt_rmse_3d_cm,0.845282441077398
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test2,vt_rmse_3d_cm,0.67008449223993
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test3,vt_rmse_3d_cm,1.00294948714994
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test4,vt_rmse_3d_cm,1.45669722157714
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test5,vt_rmse_3d_cm,1.01128389645032
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test1,visual_dispersion_3d_cm,1.1424248426799
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test2,visual_dispersion_3d_cm,1.59630588073669
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test3,visual_dispersion_3d_cm,1.64984952312371
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test4,visual_dispersion_3d_cm,2.14151091424911
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test5,visual_dispersion_3d_cm,1.46295483637625
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test1,vk_rmse_3d_cm,0.832168121500443
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test2,vk_rmse_3d_cm,0.789911269479334
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test3,vk_rmse_3d_cm,1.1853375599055
