extent_s,mode,route,metric,min_mean,max_mean,min_positive_flights,max_positive_flights,min_individual_difference
0.15,original_static,mid,rpy_std_deg,-1.74276535867278,-1.73628975970115,0,0,-3.19571350959248
0.15,original_static,mid,visual_dispersion_3d_cm,-0.322514373599631,-0.322514373599631,0,0,-0.731773828694545
0.15,original_static,mid,vk_rmse_3d_cm,-0.0250576681628804,0.20017520310198,3,4,-0.804162332730719
0.15,original_static,mid,vt_rmse_3d_cm,0.0240309430134496,0.0240309430134496,3,3,-0.305122054985915
0.15,original_static,top,kalman_pos_std_3d_cm,1.15657348651477,1.22931115180901,5,5,0.814922144147693
0.15,original_static,top,kt_rmse_3d_cm,0.852680217869133,0.924655847896674,5,5,0.560242660965417
0.15,original_static,top,rpy_std_deg,4.08161225001337,4.09959221445144,5,5,2.62403159682886
0.15,original_static,top,visual_dispersion_3d_cm,2.04665392914509,2.04665392914509,5,5,1.40550763974135
0.15,original_static,top,vk_rmse_3d_cm,1.78670815915584,1.93990291778073,5,5,0.565208682233213
0.15,original_static,top,vt_rmse_3d_cm,1.78267676670681,1.78267676670681,5,5,0.878274031907142
0.2,attitude_absolute,bot,kalman_pos_std_3d_cm,0.408975964395522,0.426360614512294,4,4,-0.10237783758811
0.2,attitude_absolute,bot,kt_rmse_3d_cm,0.423315665854079,0.446397065622974,4,5,-0.024156779769934
0.2,attitude_absolute,bot,rpy_std_deg,0.663219888811496,0.671603245599052,5,5,0.253058052822577
0.2,attitude_absolute,bot,visual_dispersion_3d_cm,0.379709412440417,0.486081676705139,5,5,0.100162025766326
0.2,attitude_absolute,bot,vk_rmse_3d_cm,0.377397201844975,0.487592874854285,5,5,0.0314848644465209
0.2,attitude_absolute,bot,vt_rmse_3d_cm,0.445721560438054,0.542003461546128,5,5,0.124001512869998
0.2,attitude_absolute,mid,kalman_pos_std_3d_cm,-0.578102849836256,-0.389386845130995,0,2,-0.882914715580223
0.2,attitude_absolute,mid,kt_rmse_3d_cm,-0.552677226455354,-0.371453116000392,0,2,-0.828914680999012
0.2,attitude_absolute,mid,rpy_std_deg,-1.75028482873902,-1.73628975970115,0,0,-3.20145407177398
0.2,attitude_absolute,mid,visual_dispersion_3d_cm,-0.313083966782717,-0.201819009190894,1,2,-0.87397055043432
0.2,attitude_absolute,mid,vk_rmse_3d_cm,0.441523842066391,0.911447257259514,5,5,0.172662309872079
0.2,attitude_absolute,mid,vt_rmse_3d_cm,0.0801733306227314,0.175510897217414,2,3,-0.407114671643432
0.2,attitude_absolute,top,kalman_pos_std_3d_cm,1.14626199204044,1.2425065801747,5,5,0.802764637471293
0.2,attitude_absolute,top,kt_rmse_3d_cm,0.841919717414185,0.937715133070757,5,5,0.54932749295304
0.2,attitude_absolute,top,rpy_std_deg,4.077992334659,4.09993787460361,5,5,2.61820410871576
0.2,attitude_absolute,top,visual_dispersion_3d_cm,1.50721411635091,2.00899214845788,5,5,1.12802430098716
0.2,attitude_absolute,top,vk_rmse_3d_cm,0.855020551021327,1.69742536548904,5,5,0.717075287798762
0.2,attitude_absolute,top,vt_rmse_3d_cm,0.947602213781269,1.50570384942795,5,5,0.603111356136947
0.2,attitude_run_centered,bot,kalman_pos_std_3d_cm,0.408975964395522,0.426360614512294,4,4,-0.10237783758811
0.2,attitude_run_centered,bot,kt_rmse_3d_cm,0.423315665854079,0.446397065622974,4,5,-0.024156779769934
0.2,attitude_run_centered,bot,rpy_std_deg,0.663219888811496,0.671603245599052,5,5,0.253058052822577
0.2,attitude_run_centered,bot,visual_dispersion_3d_cm,0.37972410172889,0.485943479325746,5,5,0.100008291224821
0.2,attitude_run_centered,bot,vk_rmse_3d_cm,0.370082991131377,0.481110900752535,4,5,-0.000389738529262385
0.2,attitude_run_centered,bot,vt_rmse_3d_cm,0.442442660214956,0.537926050732387,5,5,0.110375704354954
0.2,attitude_run_centered,mid,kalman_pos_std_3d_cm,-0.578102849836256,-0.389386845130995,0,2,-0.882914715580223
0.2,attitude_run_centered,mid,kt_rmse_3d_cm,-0.552677226455354,-0.371453116000392,0,2,-0.828914680999012
0.2,attitude_run_centered,mid,rpy_std_deg,-1.75028482873902,-1.73628975970115,0,0,-3.20145407177398
0.2,attitude_run_centered,mid,visual_dispersion_3d_cm,-0.313616568417611,-0.202123467916139,1,2,-0.874280303582496
0.2,attitude_run_centered,mid,vk_rmse_3d_cm,0.455423477453793,0.925365012997796,5,5,0.125030408805968
0.2,attitude_run_centered,mid,vt_rmse_3d_cm,0.083943818260907,0.184436922436297,2,3,-0.409786119487842
0.2,attitude_run_centered,top,kalman_pos_std_3d_cm,1.14626199204044,1.2425065801747,5,5,0.802764637471293
0.2,attitude_run_centered,top,kt_rmse_3d_cm,0.841919717414185,0.937715133070757,5,5,0.54932749295304
0.2,attitude_run_centered,top,rpy_std_deg,4.077992334659,4.09993787460361,5,5,2.61820410871576
0.2,attitude_run_centered,top,visual_dispersion_3d_cm,1.50704676111475,2.008946043472,5,5,1.12697241784228
0.2,attitude_run_centered,top,vk_rmse_3d_cm,0.839182995673671,1.67233216951998,5,5,0.69466572536107
0.2,attitude_run_centered,top,vt_rmse_3d_cm,0.933579015273617,1.48562188293516,5,5,0.575165418041101
0.2,original_static,bot,kalman_pos_std_3d_cm,0.408975964395522,0.426360614512294,4,4,-0.10237783758811
0.2,original_static,bot,kt_rmse_3d_cm,0.423315665854079,0.446397065622974,4,5,-0.024156779769934
0.2,original_static,bot,rpy_std_deg,0.663219888811496,0.671603245599052,5,5,0.253058052822577
0.2,original_static,bot,visual_dispersion_3d_cm,0.577162761633503,0.577162761633503,5,5,0.314801654244595
0.2,original_static,bot,vk_rmse_3d_cm,0.490301266429206,0.719498050949562,5,5,0.0524989769856226
