test,level,run,segment,marker,shift_s,mode,n_samples,n_native_attitude,vt_rmse_3d_cm,visual_dispersion_3d_cm,vk_rmse_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0,attitude_run_centered,178,2588,4.65451643481142,3.0763754931013,3.74266767848933,2.98093688464702,2.87581997401766,4.90165349207553
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.05,original_static,178,2589,4.85410167659897,3.44131245691081,4.05784223683969,2.97517623515196,2.86746683256412,4.89916469921029
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.05,attitude_absolute,178,2589,4.72017625775118,3.11294174474592,3.84608304058287,2.97517623515196,2.86746683256412,4.89916469921029
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.05,attitude_run_centered,178,2589,4.67600817691003,3.11324249188153,3.79831735391966,2.97517623515196,2.86746683256412,4.89916469921029
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.1,original_static,178,2589,4.85410167659897,3.44131245691081,4.11034775000346,2.98919164834531,2.87972166036605,4.89792124332796
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.1,attitude_absolute,178,2589,4.76296038712871,3.17277842976454,3.9623573670869,2.98919164834531,2.87972166036605,4.89792124332796
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.1,attitude_run_centered,178,2589,4.71910490561387,3.17302669999793,3.91618119917496,2.98919164834531,2.87972166036605,4.89792124332796
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.15,original_static,178,2588,4.85410167659897,3.44131245691081,4.18539540068188,2.97928031998291,2.86898820939213,4.89775164637833
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.15,attitude_absolute,178,2588,4.81222981629178,3.24971742002622,4.1039765685432,2.97928031998291,2.86898820939213,4.89775164637833
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.15,attitude_run_centered,178,2588,4.76884890199297,3.24988642621576,4.0594648099837,2.97928031998291,2.86898820939213,4.89775164637833
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.2,original_static,178,2589,4.85410167659897,3.44131245691081,4.27574064221619,2.98133270358483,2.86951238268041,4.89829702557487
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.2,attitude_absolute,178,2589,4.86262896688729,3.33968619054132,4.25893869137084,2.98133270358483,2.86951238268041,4.89829702557487
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0.2,attitude_run_centered,178,2589,4.81988470138614,3.33977625835139,4.21644336235035,2.98133270358483,2.86951238268041,4.89829702557487
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.2,original_static,169,2507,7.36408174172087,3.93820619812041,6.88664613426827,2.91861778846603,2.73460528462127,5.14073607559401
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.2,attitude_absolute,169,2507,6.62377387872618,3.18708632752365,6.32621625032086,2.91861778846603,2.73460528462127,5.14073607559401
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.2,attitude_run_centered,169,2507,6.57407097294669,3.1872273189021,6.27517257499344,2.91861778846603,2.73460528462127,5.14073607559401
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.15,original_static,169,2508,7.36408174172087,3.93820619812041,6.88697258166358,2.90949838522308,2.72624361758844,5.14264206425446
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.15,attitude_absolute,169,2508,6.5675181167498,3.05732661143548,6.26459927975806,2.90949838522308,2.72624361758844,5.14264206425446
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.15,attitude_run_centered,169,2508,6.51730685269436,3.05751735068367,6.21310505851441,2.90949838522308,2.72624361758844,5.14264206425446
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.1,original_static,169,2509,7.36408174172087,3.93820619812041,6.90712898441337,2.90154956121478,2.71861258374836,5.14351101338313
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.1,attitude_absolute,169,2509,6.5244956236407,2.94806208080771,6.23942654185896,2.90154956121478,2.71861258374836,5.14351101338313
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.1,attitude_run_centered,169,2509,6.47384289278746,2.94828022455662,6.18767622558174,2.90154956121478,2.71861258374836,5.14351101338313
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.05,original_static,169,2508,7.36408174172087,3.93820619812041,6.94108404493661,2.89609582067207,2.71397906345118,5.14437880637915
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.05,attitude_absolute,169,2508,6.48406586977354,2.8571030584066,6.23799239808399,2.89609582067207,2.71397906345118,5.14437880637915
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,-0.05,attitude_run_centered,169,2508,6.43306474707529,2.85732167414293,6.1862757762704,2.89609582067207,2.71397906345118,5.14437880637915
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0,original_static,169,2508,7.36408174172087,3.93820619812041,6.9861430025895,2.88682901952844,2.70538687751214,5.14410002259775
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0,attitude_absolute,169,2508,6.45775934711173,2.79549314112461,6.25840130087199,2.88682901952844,2.70538687751214,5.14410002259775
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0,attitude_run_centered,169,2508,6.40651184764312,2.79570034861599,6.20691173143539,2.88682901952844,2.70538687751214,5.14410002259775
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.05,original_static,169,2507,7.36408174172087,3.93820619812041,7.04716231671015,2.88578791634574,2.70265880430631,5.1448642016934
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.05,attitude_absolute,169,2507,6.44371141623887,2.76567174239117,6.31256471379404,2.88578791634574,2.70265880430631,5.1448642016934
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.05,attitude_run_centered,169,2507,6.39233784549534,2.765851069984,6.2615833167442,2.88578791634574,2.70265880430631,5.1448642016934
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.1,original_static,169,2507,7.36408174172087,3.93820619812041,7.11928556618251,2.88701600938275,2.70259331485216,5.14548367453471
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.1,attitude_absolute,169,2507,6.43682805167017,2.77031730544868,6.38850352877779,2.88701600938275,2.70259331485216,5.14548367453471
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.1,attitude_run_centered,169,2507,6.38547471803594,2.77044396005795,6.33830037215342,2.88701600938275,2.70259331485216,5.14548367453471
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.15,original_static,169,2509,7.36408174172087,3.93820619812041,7.19909226008663,2.88270925717488,2.69810977787778,5.145936325404
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.15,attitude_absolute,169,2509,6.44791746155726,2.80287129514039,6.48585328553803,2.88270925717488,2.69810977787778,5.145936325404
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.15,attitude_run_centered,169,2509,6.39667084914104,2.80295531895067,6.43648769805304,2.88270925717488,2.69810977787778,5.145936325404
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.2,original_static,169,2508,7.36408174172087,3.93820619812041,7.28848444037961,2.88330854643946,2.69645866703473,5.149747293263
